# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0008234	MF	e	cysteine-type peptidase activity	3/137	22/4436	0.028883805733566754	5	3	1.0	851435, 851641, 856835
GO:0008725	MF	e	DNA-3-methyladenine glycosylase activity	1/137	1/4436	0.030883678990107258	8	1	1.0	856885
GO:0015495	MF	e	gamma-aminobutyric acid:proton symporter activity	1/137	1/4436	0.030883678990107258	10	1	1.0	851317
GO:0017025	MF	e	TBP-class protein binding	1/137	1/4436	0.030883678990107258	5	1	1.0	850744
GO:0022893	MF	e	low-affinity tryptophan transmembrane transporter activity	1/137	1/4436	0.030883678990107258	10	1	1.0	852361
GO:0030371	MF	e	translation repressor activity	1/137	1/4436	0.030883678990107258	2	1	1.0	854541
GO:0032131	MF	e	alkylated DNA binding	1/137	1/4436	0.030883678990107258	6	1	1.0	856885
GO:0034319	MF	e	alcohol O-butanoyltransferase activity	1/137	1/4436	0.030883678990107258	7	1	1.0	852476
GO:0036459	MF	e	thiol-dependent ubiquitinyl hydrolase activity	3/137	18/4436	0.01673800344498739	7	3	1.0	851435, 851641, 856835
GO:0042602	MF	e	riboflavin reductase (NADPH) activity	1/137	1/4436	0.030883678990107258	5	1	1.0	852729
GO:0043495	MF	e	protein membrane adaptor activity	2/137	9/4436	0.029566320884410177	4	2	1.0	851261, 856702
GO:0043916	MF	e	DNA-7-methylguanine glycosylase activity	1/137	1/4436	0.030883678990107258	7	1	1.0	856885
GO:0047884	MF	e	FAD diphosphatase activity	1/137	1/4436	0.030883678990107258	7	1	1.0	855216
GO:0050203	MF	e	oxalate-CoA ligase activity	1/137	1/4436	0.030883678990107258	5	1	1.0	852523
GO:0050546	MF	e	4-hydroxyphenylpyruvate decarboxylase activity	1/137	1/4436	0.030883678990107258	5	1	1.0	851987
GO:0052642	MF	e	lysophosphatidic acid phosphatase activity	1/137	1/4436	0.030883678990107258	6	1	1.0	856759
GO:0052654	MF	e	L-leucine transaminase activity	1/137	1/4436	0.030883678990107258	6	1	1.0	853613
GO:0052655	MF	e	L-valine transaminase activity	1/137	1/4436	0.030883678990107258	6	1	1.0	853613
GO:0052656	MF	e	L-isoleucine transaminase activity	1/137	1/4436	0.030883678990107258	6	1	1.0	853613
GO:0052735	MF	e	tRNA (cytosine-3-)-methyltransferase activity	1/137	1/4436	0.030883678990107258	8	1	1.0	854414
GO:0052821	MF	e	DNA-7-methyladenine glycosylase activity	1/137	1/4436	0.030883678990107258	7	1	1.0	856885
GO:0052822	MF	e	DNA-3-methylguanine glycosylase activity	1/137	1/4436	0.030883678990107258	8	1	1.0	856885
GO:0102752	MF	e	1,4-alpha-glucan branching enzyme activity (using a glucosylated glycogenin as primer for glycogen synthesis)	1/137	1/4436	0.030883678990107258	5	1	1.0	856705
