# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0031578	BP	e	mitotic spindle orientation checkpoint	6/461	13/4436	0.001105485846369628	10	6	1.0	853513, 855077, 855607, 855859, 856515, 856736
GO:0032956	BP	e	regulation of actin cytoskeleton organization	4/461	7/4436	0.003119445870322182	7	4	1.0	852716, 853929, 854079, 856249
GO:0034087	BP	e	establishment of mitotic sister chromatid cohesion	4/461	10/4436	0.014513847278517424	4	4	1.0	852404, 854974, 855067, 856089
GO:0034625	BP	e	fatty acid elongation, monounsaturated fatty acid	2/461	3/4436	0.03010501514213773	11	2	1.0	851087, 853243
GO:0034626	BP	e	fatty acid elongation, polyunsaturated fatty acid	2/461	3/4436	0.03010501514213773	11	2	1.0	851087, 853243
GO:0043328	BP	e	protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway	5/461	16/4436	0.019631579709792648	9	5	1.0	853212, 853735, 855380, 855739, 856105
GO:0044088	BP	e	regulation of vacuole organization	2/461	3/4436	0.03010501514213773	6	2	1.0	855393, 856324
GO:0044210	BP	e	'de novo' CTP biosynthetic process	2/461	2/4436	0.010778878968200808	12	2	1.0	852241, 853567
GO:0051123	BP	e	RNA polymerase II preinitiation complex assembly	4/461	13/4436	0.03844182537895628	8	4	1.0	854106, 855208, 855974, 856165
GO:0061709	BP	e	reticulophagy	4/461	12/4436	0.02892676975057895	7	4	1.0	850349, 850712, 852200, 852695
GO:0070193	BP	e	synaptonemal complex organization	2/461	3/4436	0.03010501514213773	5	2	1.0	852057, 852117
GO:0071459	BP	e	protein localization to chromosome, centromeric region	3/461	6/4436	0.01754426675716779	7	3	1.0	852404, 856089, 856115
GO:0071475	BP	e	cellular hyperosmotic salinity response	2/461	2/4436	0.010778878968200808	7	2	1.0	851613, 855208
GO:0071562	BP	e	nucleus-vacuole junction assembly	2/461	2/4436	0.010778878968200808	5	2	1.0	856602, 856702
GO:0071930	BP	e	negative regulation of transcription involved in G1/S transition of mitotic cell cycle	4/461	8/4436	0.005729853172387554	11	4	1.0	852062, 853966, 854675, 854981
GO:0090337	BP	e	regulation of formin-nucleated actin cable assembly	3/461	6/4436	0.01754426675716779	10	3	1.0	853929, 855607, 856515
GO:1902364	BP	e	negative regulation of protein localization to spindle pole body	2/461	2/4436	0.010778878968200808	7	2	1.0	855607, 856515
GO:1903088	BP	e	5-amino-1-ribofuranosylimidazole-4-carboxamide transmembrane transport	2/461	3/4436	0.03010501514213773	6	2	1.0	850938, 854364
GO:2000221	BP	e	negative regulation of pseudohyphal growth	3/461	8/4436	0.041942699972026834	8	3	1.0	851613, 852091, 854675
GO:0000151	CC	e	ubiquitin ligase complex	5/461	16/4436	0.019631579709792648	4	5	1.0	853096, 853887, 855607, 855806, 856515
GO:0000421	CC	e	autophagosome membrane	2/461	2/4436	0.010778878968200808	6	2	0.959320228169872	852200, 852695
GO:0000922	CC	e	spindle pole	4/461	11/4436	0.020968374344328692	2	4	1.0	853513, 854349, 855077, 856736
GO:0005739	CC	p	mitochondrion	80/461	930/4436	0.046021240883472404	5	80	1.0	850351, 850361, 850388, 850527, 850605, 850776, 851107, 851245, 851249, 851251, 851285, 851346, 851398, 851454, 851535, 851539, 851646, 851727, 851926, 852041, 852073, 852105, 852124, 852332, 852426, 852443, 852444, 852476, 852525, 852622, 852726, 852882, 852919, 853071, 853079, 853095, 853316, 853375, 853465, 853536, 853586, 853613, 853630, 853720, 853755, 853859, 853867, 853940, 854022, 854187, 854267, 854390, 854396, 854415, 854474, 854501, 854529, 854672, 854744, 855054, 855078, 855088, 855122, 855145, 855247, 855482, 855858, 855866, 855895, 855949, 856152, 856198, 856447, 856456, 856464, 856480, 856672, 856779, 856810, 20098144
GO:0005811	CC	e	lipid droplet	11/461	47/4436	0.007348590487376692	5	11	0.959320228169872	850351, 851215, 852138, 852476, 853465, 853717, 853920, 853941, 854109, 854995, 855895
GO:0005881	CC	e	cytoplasmic microtubule	4/461	12/4436	0.02892676975057895	7	4	1.0	852034, 855345, 855859, 856736
GO:0005935	CC	p	cellular bud neck	7/461	153/4436	0.014425559439573939	3	7	1.0	850334, 850891, 852119, 852243, 853929, 854170, 856850
GO:0005955	CC	e	calcineurin complex	2/461	3/4436	0.03010501514213773	5	2	1.0	853644, 854946
GO:0009898	CC	e	cytoplasmic side of plasma membrane	2/461	3/4436	0.03010501514213773	4	2	1.0	850349, 852837
GO:0030176	CC	e	integral component of endoplasmic reticulum membrane	11/461	52/4436	0.019065928250782887	5	11	1.0	850351, 850947, 851087, 852020, 852196, 852481, 853243, 853941, 854995, 856152, 856587
GO:0031160	CC	e	spore wall	3/461	7/4436	0.028362882422166072	4	3	1.0	850412, 851215, 854109
GO:0031416	CC	e	NatB complex	2/461	2/4436	0.010778878968200808	7	2	0.959320228169872	854079, 856249
GO:0035974	CC	e	meiotic spindle pole body	3/461	5/4436	0.009500213820444043	4	3	0.959320228169872	850924, 852705, 854349
GO:0044732	CC	e	mitotic spindle pole body	4/461	5/4436	0.0005288575249770788	4	4	0.3765465577836801	853513, 855077, 855607, 856515
GO:0046658	CC	e	anchored component of plasma membrane	3/461	5/4436	0.009500213820444043	4	3	0.959320228169872	850812, 850891, 853820
GO:0071819	CC	e	DUBm complex	2/461	3/4436	0.03010501514213773	2	2	1.0	852814, 856060
GO:0097268	CC	e	cytoophidium	2/461	2/4436	0.010778878968200808	2	2	0.959320228169872	852241, 853567
GO:1990334	CC	e	Bfa1-Bub2 complex	2/461	2/4436	0.010778878968200808	4	2	0.959320228169872	853513, 855077
GO:0000293	MF	e	ferric-chelate reductase activity	4/461	9/4436	0.009475445727511139	5	4	1.0	852716, 853660, 854563, 855797
GO:0000978	MF	e	RNA polymerase II cis-regulatory region sequence-specific DNA binding	15/461	75/4436	0.011466312206190123	9	15	1.0	850523, 850928, 851247, 851613, 852074, 852260, 853334, 853966, 854675, 854684, 855208, 855482, 855800, 855970, 856750
GO:0001227	MF	e	DNA-binding transcription repressor activity, RNA polymerase II-specific	5/461	20/4436	0.049324646382496735	4	5	1.0	851613, 852062, 854675, 854981, 856750
GO:0003712	MF	e	transcription coregulator activity	6/461	26/4436	0.046303731234564806	2	6	1.0	850744, 852053, 852726, 853966, 854106, 855305
GO:0003883	MF	e	CTP synthase activity	2/461	2/4436	0.010778878968200808	4	2	1.0	852241, 853567
GO:0004069	MF	e	L-aspartate:2-oxoglutarate aminotransferase activity	2/461	2/4436	0.010778878968200808	5	2	1.0	850714, 853755
GO:0004197	MF	e	cysteine-type endopeptidase activity	4/461	13/4436	0.03844182537895628	6	4	1.0	852349, 855350, 855482, 856835
GO:0004596	MF	e	peptide alpha-N-acetyltransferase activity	3/461	8/4436	0.041942699972026834	8	3	1.0	854079, 856249, 856657
GO:0004723	MF	e	calcium-dependent protein serine/threonine phosphatase activity	2/461	3/4436	0.03010501514213773	8	2	1.0	853644, 854946
GO:0008175	MF	e	tRNA methyltransferase activity	3/461	5/4436	0.009500213820444043	6	3	1.0	852832, 853995, 855008
GO:0008289	MF	p	lipid binding	0/461	33/4436	0.04349623904995447	2	0	1.0	
GO:0009922	MF	e	fatty acid elongase activity	2/461	3/4436	0.03010501514213773	6	2	1.0	851087, 853243
GO:0016251	MF	e	RNA polymerase II general transcription initiation factor activity	2/461	2/4436	0.010778878968200808	3	2	1.0	855208, 855974
GO:0016409	MF	e	palmitoyltransferase activity	3/461	8/4436	0.041942699972026834	5	3	1.0	850947, 852070, 854199
GO:0019239	MF	e	deaminase activity	3/461	4/4436	0.004117400043176479	3	3	1.0	851360, 854973, 855581
GO:0019706	MF	e	protein-cysteine S-palmitoyltransferase activity	3/461	8/4436	0.041942699972026834	7	3	1.0	850947, 852070, 854199
GO:0052851	MF	e	ferric-chelate reductase (NADPH) activity	3/461	7/4436	0.028362882422166072	5	3	1.0	853660, 854563, 855797
GO:0102336	MF	e	3-oxo-arachidoyl-CoA synthase activity	2/461	3/4436	0.03010501514213773	5	2	1.0	851087, 853243
GO:0102337	MF	e	3-oxo-cerotoyl-CoA synthase activity	2/461	3/4436	0.03010501514213773	5	2	1.0	851087, 853243
GO:0102338	MF	e	3-oxo-lignoceronyl-CoA synthase activity	2/461	3/4436	0.03010501514213773	5	2	1.0	851087, 853243
GO:0102756	MF	e	very-long-chain 3-ketoacyl-CoA synthase activity	2/461	3/4436	0.03010501514213773	5	2	1.0	851087, 853243
GO:1903089	MF	e	5-amino-1-ribofuranosylimidazole-4-carboxamide transmembrane transporter activity	2/461	3/4436	0.03010501514213773	4	2	1.0	850938, 854364
GO:1904855	MF	e	proteasome regulatory particle binding	2/461	3/4436	0.03010501514213773	3	2	1.0	853096, 853859
